gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PPEF1	4.570762211	-2.748023994	22.6609362	1.30E-85	2.53E-81	184.4073577
RPS6KL1	1.987490662	-0.777443368	22.6051067	2.70E-85	2.63E-81	183.6814863
VWC2	1.404441602	-0.173216633	22.55410454	5.25E-85	3.41E-81	183.0186129
ITPKB	-3.232226843	0.047363659	-22.25317351	2.67E-83	1.30E-79	179.1121906
NEUROD6	2.123873597	-0.674020342	22.23578147	3.34E-83	1.30E-79	178.8866816
C5orf13	1.990493608	-0.485202084	21.75677513	1.70E-80	5.44E-77	172.6878377
C4A	-4.41747752	-0.588780954	-21.74617478	1.95E-80	5.44E-77	172.5509345
GPR120	1.082872772	-0.262358607	21.64877268	6.91E-80	1.68E-76	171.2935799
CRH	3.314353277	-1.828891669	21.48965491	5.44E-79	1.18E-75	169.2418946
TBC1D2B	-1.231664436	0.392499017	-21.46753035	7.24E-79	1.41E-75	168.9568543
AFF1	-1.672882017	0.274409789	-21.42011888	1.34E-78	2.37E-75	168.3462305
BDNF	3.386802592	-1.372859209	21.35107742	3.27E-78	5.31E-75	167.4575191
AEBP1	-2.330476722	0.015930054	-21.31761743	5.04E-78	7.56E-75	167.0270291
NRN1	2.477388846	-0.854527277	21.30978955	5.58E-78	7.77E-75	166.9263372
ZFP36L1	-2.711172094	-0.00692241	-21.24506427	1.29E-77	1.67E-74	166.094056
LANCL2	1.266084172	-0.451376385	21.19147651	2.57E-77	3.14E-74	165.4053917
WSB2	0.912954857	0.031121531	21.17863229	3.04E-77	3.48E-74	165.2403835
SLC25A15	1.42307701	-0.317841292	21.05935723	1.42E-76	1.53E-73	163.7090999
CBLN4	3.846625953	-1.956000027	21.04396313	1.73E-76	1.77E-73	163.5116034
PXN	-2.292621781	0.445624429	-20.99875496	3.10E-76	3.02E-73	162.9317956
NCALD	2.786947159	-1.073094919	20.9494066	5.85E-76	5.43E-73	162.2992041
GRIK1	1.895659536	-0.770717938	20.94021155	6.58E-76	5.83E-73	162.1813705
ANKRD25	-1.863836154	0.087248074	-20.9114967	9.53E-76	8.07E-73	161.8134674
CDKN2D	1.527948991	0.096934741	20.90824932	9.94E-76	8.07E-73	161.7718682
C4B	-1.662513156	-0.087041101	-20.86275358	1.79E-75	1.39E-72	161.1892174
ZNF682	1.336911656	-0.501979612	20.79193217	4.44E-75	3.33E-72	160.2828051
HSD11B2	-2.324949337	-0.354141573	-20.71177832	1.24E-74	8.98E-72	159.2578115
CA10	3.002039818	-1.688502731	20.68384594	1.78E-74	1.24E-71	158.9008347
LOC401097	1.475267495	-0.588709606	20.64225683	3.04E-74	2.04E-71	158.3695354
ANKRD39	2.005411438	-0.882805644	20.62296929	3.89E-74	2.53E-71	158.1232242
NFKBIE	1.174351532	-0.502723892	20.5935246	5.68E-74	3.57E-71	157.7473072
VIP	4.289511679	-2.409920897	20.58232791	6.56E-74	3.89E-71	157.6043942
BCL2L2	1.261590537	0.276761239	20.58192277	6.60E-74	3.89E-71	157.5992234
CALCOCO2	-1.452167143	0.106712417	-20.54302174	1.09E-73	6.23E-71	157.1028441
LOC727916	1.295304576	0.16714829	20.51535001	1.55E-73	8.63E-71	156.7498896
TRIM3	-2.018415764	-0.351949783	-20.48781646	2.20E-73	1.19E-70	156.3988129
C11orf31	1.378678218	-0.131141612	20.44703081	3.72E-73	1.96E-70	155.878973
NFKBIA	-1.450414022	-0.027846398	-20.4291881	4.67E-73	2.40E-70	155.6516363
TNFRSF10B	-1.717728148	-0.074936055	-20.42072997	5.21E-73	2.60E-70	155.5438871
FRMPD2	3.534013386	-1.665417084	20.40214451	6.61E-73	3.22E-70	155.3071635
FAM131A	1.301942949	0.185602718	20.34493024	1.37E-72	6.53E-70	154.5787614
RHBDF2	-3.535384596	-0.199049049	-20.33458219	1.57E-72	7.28E-70	154.4470739
C1orf145	0.925621221	0.011416341	20.28955665	2.79E-72	1.26E-69	153.8742837
ATOH8	-3.108989053	0.147728935	-20.28835791	2.83E-72	1.26E-69	153.8590384
FREM3	3.833933167	-2.000235043	20.27709673	3.27E-72	1.42E-69	153.7158323
FLJ32679	0.8228038	-0.1698916	20.2747242	3.37E-72	1.43E-69	153.685664
PPP2R2B	1.344738844	-0.358319409	20.2638364	3.88E-72	1.61E-69	153.5472295
MPPED2	1.339122618	-0.454340572	20.24932021	4.67E-72	1.88E-69	153.362691
UBE2V1	0.982161188	-0.091991704	20.24839999	4.72E-72	1.88E-69	153.3509937
EMP3	-2.501033644	-0.308255671	-20.23884689	5.34E-72	2.08E-69	153.2295688
FBLN7	2.745852606	-1.378053246	20.22872793	6.07E-72	2.32E-69	153.1009676
C1orf95	1.962852672	-0.509406037	20.22570604	6.31E-72	2.37E-69	153.0625658
ULBP1	1.195395505	-0.604494937	20.21115139	7.60E-72	2.80E-69	152.8776277
LRTM2	2.188603939	-0.303812154	20.18882072	1.01E-71	3.62E-69	152.5939509
CHML	1.979003301	-0.848954821	20.18804971	1.02E-71	3.62E-69	152.5841577
C17orf76	1.456293513	-0.207649807	20.15371459	1.58E-71	5.51E-69	152.1481456
AMIGO2	2.044379906	-0.922824862	20.14449632	1.78E-71	6.09E-69	152.0311181
VSIG4	-3.7229486	-0.725609869	-20.10745841	2.86E-71	9.60E-69	151.5610572
DKFZP586K1520	1.692561621	-0.689107308	20.08948848	3.59E-71	1.19E-68	151.3330764
MAL2	2.58784345	-1.043219625	20.06636842	4.82E-71	1.57E-68	151.0398359
CAMK4	1.739545184	-0.769176381	20.06303789	5.03E-71	1.61E-68	150.9976008
TNFRSF10D	-3.021239268	-0.230844475	-20.0111762	9.75E-71	3.06E-68	150.3401742
IGF1	2.812238374	-0.861257779	20.00664511	1.03E-70	3.19E-68	150.2827572
TCEAL5	0.917581829	-0.137041311	19.99450027	1.21E-70	3.67E-68	150.1288775
PPP1R7	0.994315192	-0.371902548	19.98184552	1.42E-70	4.25E-68	149.9685638
C1orf162	-1.378599834	-0.203450649	-19.97073436	1.63E-70	4.82E-68	149.8278271
NOVA1	1.138041661	-0.439035177	19.96424634	1.77E-70	5.16E-68	149.7456579
DBNDD1	2.009292406	-0.769232155	19.93718635	2.50E-70	7.17E-68	149.4030278
MS4A6A	-1.496574781	-0.147574238	-19.91516876	3.31E-70	9.35E-68	149.1243365
GABARAPL2	1.178419617	-0.376111203	19.91082455	3.50E-70	9.74E-68	149.0693588
HDAC9	1.125099349	-0.339253304	19.88942063	4.59E-70	1.26E-67	148.7985315
FLJ30428	0.942773951	-0.247446491	19.87904999	5.24E-70	1.42E-67	148.6673387
ACTR3B	1.146955565	-0.617925295	19.87521175	5.50E-70	1.47E-67	148.6187881
TMEM24	1.131351472	-0.109316126	19.83452449	9.23E-70	2.43E-67	148.1042858
SCN3B	3.281456504	-2.009069483	19.81952626	1.12E-69	2.90E-67	147.9147019
PIK3AP1	-1.287388719	-0.073883127	-19.80736208	1.30E-69	3.34E-67	147.7609707
TNFRSF1A	-2.678826133	0.116556417	-19.80468313	1.35E-69	3.41E-67	147.7271177
PGAM5	1.321582487	-0.380943291	19.80229208	1.39E-69	3.47E-67	147.6969036
FKBP5	-2.456959134	0.210321042	-19.79570512	1.51E-69	3.73E-67	147.6136743
LOC730034	2.192748763	-0.866166782	19.7646981	2.24E-69	5.46E-67	147.2219892
CORT	2.283596508	-1.120462785	19.75291555	2.60E-69	6.26E-67	147.0731951
DUX4	-1.046707153	0.480879866	-19.75148225	2.65E-69	6.30E-67	147.0550966
KLF15	-3.186519964	0.228390356	-19.73260453	3.37E-69	7.91E-67	146.8167588
TLR2	-4.174810098	-1.114223827	-19.70538779	4.76E-69	1.10E-66	146.4732506
PCP4L1	2.308846698	-0.781005633	19.69542498	5.40E-69	1.24E-66	146.3475412
GLT25D1	-1.427595427	0.154242508	-19.67387404	7.10E-69	1.61E-66	146.0756755
GEM	-2.430629192	-0.693531271	-19.64280219	1.05E-68	2.36E-66	145.6838519
SLC10A4	2.513932529	-1.28339759	19.6219734	1.37E-68	3.04E-66	145.4212943
DSE	-1.969637083	-0.145961973	-19.61799883	1.44E-68	3.16E-66	145.3712017
HSPB3	2.813783201	-1.537581722	19.59400003	1.95E-68	4.23E-66	145.0688007
NFATC2	-0.932421925	-0.061888858	-19.54372199	3.69E-68	7.91E-66	144.4356082
CDK5R2	2.348412216	-0.912314702	19.53738125	4.00E-68	8.48E-66	144.3557873
CDH12	0.8041383	-0.183591995	19.52253723	4.83E-68	1.01E-65	144.1689517
4-Mar	1.912919812	-0.070968471	19.50341797	6.15E-68	1.27E-65	143.9283662
SLCO4A1	-3.16482672	-0.062368901	-19.49971998	6.44E-68	1.32E-65	143.8818408
IFI30	-1.50698319	-0.336835183	-19.48001992	8.27E-68	1.68E-65	143.6340322
CCKBR	2.226961012	-0.898752031	19.4771571	8.57E-68	1.72E-65	143.5980266
RUFY1	-0.967679903	-0.054532341	-19.46945708	9.45E-68	1.88E-65	143.5011916
DOK1	-1.677433442	0.218243143	-19.45480341	1.14E-67	2.24E-65	143.3169386
VGF	4.082264238	-1.677189777	19.41695754	1.83E-67	3.58E-65	142.8412592
CRYM	3.478804068	-1.983042229	19.41604796	1.86E-67	3.58E-65	142.8298301
C18orf33	2.029134062	-0.431470165	19.4053361	2.13E-67	4.06E-65	142.6952457
NMS	3.2840144	-2.1983643	19.39781099	2.34E-67	4.42E-65	142.6007128
PLCE1	-1.705559081	0.044755262	-19.38590222	2.72E-67	5.09E-65	142.4511332
RABEPK	0.858077677	-0.315487925	19.37812808	3.00E-67	5.56E-65	142.3535012
FBXO16	2.29884786	-0.991986054	19.37664458	3.05E-67	5.61E-65	142.3348719
TCEB1	1.291023838	-0.484617008	19.37286234	3.20E-67	5.83E-65	142.2873777
C6orf154	1.842553472	-0.710274987	19.36924048	3.35E-67	6.05E-65	142.2419
PRKD3	-1.813427571	0.102517187	-19.34753393	4.41E-67	7.88E-65	141.9693956
TMEM120A	-1.282971923	-0.117176356	-19.34174383	4.74E-67	8.33E-65	141.896722
NUPR1	-1.226585712	-0.130620575	-19.34171725	4.74E-67	8.33E-65	141.8963884
LOC375196	1.825262933	-0.836933426	19.34066443	4.81E-67	8.37E-65	141.8831749
ANXA2	-2.191561254	-0.271832168	-19.33709081	5.03E-67	8.67E-65	141.838325
LOC400120	3.368988105	-1.892293141	19.32974571	5.52E-67	9.43E-65	141.7461501
OLFM3	3.050095971	-1.536063119	19.3200692	6.24E-67	1.06E-64	141.6247338
SPEF1	1.037184941	-0.339074908	19.31403369	6.73E-67	1.13E-64	141.5490122
CDKN2AIPNL	1.861654962	-0.911959949	19.29085304	9.01E-67	1.50E-64	141.2582539
PPP2R2C	1.202849739	-0.042371408	19.29006902	9.10E-67	1.50E-64	141.2484217
C1orf165	1.65582821	-0.776122967	19.28976818	9.14E-67	1.50E-64	141.2446489
BAG3	-2.648693717	-0.210805703	-19.2878246	9.36E-67	1.52E-64	141.2202755
LPPR4	1.433048331	-0.543551501	19.2716337	1.15E-66	1.85E-64	141.0172624
ARPP.19	1.994972997	-1.423591121	19.27062795	1.16E-66	1.86E-64	141.0046534
HMP19	0.86763941	-0.157873003	19.24975059	1.51E-66	2.40E-64	140.7429583
VKORC1L1	1.565559328	-0.201111153	19.24854567	1.54E-66	2.41E-64	140.7278574
BCL6	-1.495749244	-0.152651125	-19.2257885	2.05E-66	3.19E-64	140.4427026
PAK1	3.263433181	-2.24095407	19.21556036	2.33E-66	3.60E-64	140.314574
LOC112703	0.867248539	-0.060250313	19.2028448	2.73E-66	4.19E-64	140.1553144
ALKBH6	0.941519047	-0.265653247	19.20191593	2.76E-66	4.21E-64	140.1436818
MANBAL	0.811844512	-0.466060059	19.18980969	3.22E-66	4.86E-64	139.9920858
GRP	1.541209875	-0.475314451	19.17211697	4.02E-66	6.03E-64	139.7705878
CECR6	0.735639672	-0.096857936	19.16874703	4.20E-66	6.24E-64	139.7284061
TGIF1	-2.463046475	0.062552618	-19.16714327	4.28E-66	6.32E-64	139.7083326
FOXO1	-1.932998301	0.137953256	-19.14956774	5.34E-66	7.83E-64	139.4883813
LHFPL2	-1.421340867	-0.147613954	-19.14696977	5.52E-66	8.03E-64	139.4558739
RIOK2	-1.53705011	-0.337853799	-19.14513976	5.65E-66	8.16E-64	139.4329765
ASB8	1.503835132	0.197997986	19.13879501	6.12E-66	8.77E-64	139.3535952
PGCP	-1.643497888	0.070294563	-19.13186748	6.68E-66	9.50E-64	139.2669318
UBLCP1	1.61853995	-0.65550893	19.11858073	7.89E-66	1.11E-63	139.1007416
TRIP10	-2.435797841	0.519868046	-19.11191571	8.58E-66	1.20E-63	139.0173892
NETO2	2.24425589	-1.343506574	19.10874594	8.93E-66	1.24E-63	138.9777514
TASP1	1.072371875	-0.248264717	19.10826776	8.98E-66	1.24E-63	138.971772
KIAA0323	-1.382096918	0.365602197	-19.10073924	9.87E-66	1.36E-63	138.877637
LCP1	-3.670821414	-0.670046214	-19.09206118	1.10E-65	1.50E-63	138.7691429
P2RX2	0.72271713	-0.192797948	19.07799272	1.31E-65	1.78E-63	138.5932897
RELA	-1.787718805	0.039777678	-19.07713814	1.33E-65	1.79E-63	138.5826089
TMEM169	1.66766949	-0.80195795	19.06700094	1.51E-65	2.01E-63	138.4559227
LOC162073	-0.731006577	0.018339273	-19.05773704	1.70E-65	2.25E-63	138.3401685
MMEL1	-1.44365368	0.135219554	-19.05303296	1.80E-65	2.37E-63	138.2813968
PNOC	2.111405862	-0.684405794	19.03551353	2.24E-65	2.93E-63	138.0625529
ROM1	-2.271983333	0.044909459	-18.99659343	3.65E-65	4.75E-63	137.5766089
SRD5A1	2.029606222	-0.780051586	18.98250827	4.36E-65	5.63E-63	137.4008232
KRT5	2.997987116	-1.065217126	18.9808321	4.45E-65	5.71E-63	137.379907
CEBPB	-2.296480199	0.350728109	-18.96877455	5.18E-65	6.60E-63	137.2294632
HVCN1	-2.340538191	-0.204657617	-18.96510399	5.42E-65	6.86E-63	137.183671
MOBKL2C	-1.350732082	0.738530284	-18.95718962	5.99E-65	7.53E-63	137.0849447
